10.12.30.11 天安-esxi6.7-esxi6.7_node11
10.12.30.12 天安-esxi6.7-esxi6.7_node12
10.12.30.13 天安-esxi6.7-esxi6.7_node13
10.12.30.14 天安-esxi6.7-esxi6.7_node14
10.12.30.21 天安-esxi6.7-esxi6.7_node21
10.12.30.22 天安-esxi6.7-esxi6.7_node22
10.12.30.23 天安-esxi6.7-esxi6.7_node23
10.12.30.24 天安-esxi6.7-esxi6.7_node24
10.12.30.26 天安-NUTANIX-NUTANIX_node26
10.12.30.27 天安-NUTANIX-NUTANIX_node27
10.12.30.28 天安-NUTANIX-NUTANIX_node28
10.12.30.29 天安-NUTANIX-NUTANIX_node29
10.12.30.30 天安-NUTANIX-NUTANIX_node30
10.12.30.31 天安-NUTANIX-NUTANIX_node31
10.12.30.32 天安-NUTANIX-NUTANIX_node32
10.12.30.33 天安-NUTANIX-NUTANIX_node33
10.12.30.34 天安-NUTANIX-NUTANIX_node34
10.12.30.35 天安-NUTANIX-NUTANIX_node35
10.12.30.36 天安-NUTANIX-NUTANIX_node36
10.12.30.37 天安-NUTANIX-NUTANIX_node37
10.12.30.38 天安-NUTANIX-NUTANIX_node38
10.12.30.39 天安-NUTANIX-NUTANIX_node39
10.12.30.99 天安-NUTANIX-NUTANIX_node99
10.12.30.100 天安-NUTANIX-NUTANIX_node100
10.12.30.102 天安-
10.12.30.103 天安-
10.12.30.104 天安-
10.12.30.105 天安-
10.12.30.106 天安-
10.12.30.107 天安-
10.12.30.108 天安-
10.12.30.109 天安-
10.12.30.110 天安-
10.12.30.111 天安-
10.12.30.112 天安-
10.12.30.113 天安-
10.12.30.114 天安-
10.12.30.115 天安-
10.12.30.116 天安-
10.12.30.117 天安-
10.12.30.118 天安-
10.12.30.119 天安-
10.12.30.120 天安-
10.12.30.121 天安-
10.12.30.122 天安-
10.12.30.123 天安-
10.12.30.124 天安-
