小区名称,地址,建筑时间,楼栋,单元,门牌,朝向,面积
小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
平安,东莞,2018,12,12,101,南北,120
平安,东莞,2018,12,12,102,东西,120
平安,东莞,2018,12,12,201,南北,120
平安,东莞,2018,12,12,202,东西,120
平安,东莞,2018,12,12,301,南北,120
平安,东莞,2018,12,12,302,东西,120
平安,东莞,2018,12,12,401,南北,120
平安,东莞,2018,12,12,402,东西,120
平安,东莞,2018,12,12,501,南北,120
平安,东莞,2018,12,12,502,东西,120
平安,东莞,2018,12,12,601,南北,120
平安,东莞,2018,12,12,602,东西,120
平安,东莞,2018,12,12,701,南北,120
平安,东莞,2018,12,12,702,东西,120
平安,东莞,2018,12,12,801,南北,120
平安,东莞,2018,12,12,802,东西,120
平安,东莞,2018,12,12,901,南北,120
平安,东莞,2018,12,12,902,东西,120
平安,东莞,2018,12,12,1001,南北,120
平安,东莞,2018,12,12,1002,东西,120
平安,东莞,2018,12,12,1101,南北,120
平安,东莞,2018,12,12,1102,东西,120
平安,东莞,2018,12,12,1201,南北,120
平安,东莞,2018,12,12,1202,东西,120
小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
平安,东莞,2018,11,11,101,南北,120
平安,东莞,2018,11,11,102,东西,120
平安,东莞,2018,11,11,201,南北,120
平安,东莞,2018,11,11,202,东西,120
平安,东莞,2018,11,11,301,南北,120
平安,东莞,2018,11,11,302,东西,120
平安,东莞,2018,11,11,401,南北,120
平安,东莞,2018,11,11,402,东西,120
平安,东莞,2018,11,11,501,南北,120
平安,东莞,2018,11,11,502,东西,120
平安,东莞,2018,11,11,601,南北,120
平安,东莞,2018,11,11,602,东西,120
平安,东莞,2018,11,11,701,南北,120
平安,东莞,2018,11,11,702,东西,120
平安,东莞,2018,11,11,801,南北,120
平安,东莞,2018,11,11,802,东西,120
平安,东莞,2018,11,11,901,南北,120
平安,东莞,2018,11,11,902,东西,120
平安,东莞,2018,11,11,1001,南北,120
平安,东莞,2018,11,11,1002,东西,120
平安,东莞,2018,11,11,1101,南北,120
平安,东莞,2018,11,11,1102,东西,120
平安,东莞,2018,11,11,1201,南北,120
平安,东莞,2018,11,11,1202,东西,120
