食物,链接,热量
"
Easy Fun 高蛋白小酥鱼（藤椒味）
",http://www.boohee.com/shiwu/fdc19ab3,351 大卡(每100克)
"
鸡蛋，又叫鸡子、鸡卵、蛋
",http://www.boohee.com/shiwu/jidan_junzhi,144 大卡(每100克)
"
Easy Fun 低脂鸡胸肉肠（香辣味）
",http://www.boohee.com/shiwu/fd7a0fa9,136 大卡(每100克)
"
Easy Fun 鸡胸肉丝（原味）
",http://www.boohee.com/shiwu/fda82c33,418 大卡(每100克)
"
Easy Fun 低脂鸡胸肉（黑椒味）
",http://www.boohee.com/shiwu/fd1c845f,134 大卡(每100克)
"
Easy Fun 低脂鸡胸肉（香辣味）
",http://www.boohee.com/shiwu/fd4a70b4,130 大卡(每100克)
"
Easy Fun 低脂鸡胸肉丸（原味），又...
",http://www.boohee.com/shiwu/fd4e5f89,93 大卡(每100克)
"
Easy S 低脂牛肉小方（五香味）
",http://www.boohee.com/shiwu/fd01a3cf,165 大卡(每100克)
"
Easy S 低脂鸡蛋干（五香味）
",http://www.boohee.com/shiwu/fd31e13e,124 大卡(每100克)
"
Easy S 低脂鸡胸肉（香辣味）
",http://www.boohee.com/shiwu/fd56d800,130 大卡(每100克)
"
卤蛋，又叫卤鸡蛋
",http://www.boohee.com/shiwu/lujidan,148 大卡(每100克)
"
清炒土豆丝
",http://www.boohee.com/shiwu/qingchaotudousi,95 大卡(每100克)
"
清爽西兰花
",http://www.boohee.com/shiwu/qingshuangxilanhua,63 大卡(每100克)
"
烧麦，又叫烧卖、糯米烧卖
",http://www.boohee.com/shiwu/shaomai,220 大卡(每100克)
"
炒大白菜，又叫大白菜
",http://www.boohee.com/shiwu/chaodabaicai,53 大卡(每100克)
"
西红柿鸡蛋汤，又叫西红柿蛋汤
",http://www.boohee.com/shiwu/xihongshijidantang,32 大卡(每100克)
"
大饼，又叫饼，家常饼，死面饼
",http://www.boohee.com/shiwu/dabing,215 大卡(每100克)
"
清蒸鱼，又叫清蒸鱼、蒸鱼、鱼、蒸洄鱼
",http://www.boohee.com/shiwu/qingzhengyu,105 大卡(每100克)
